guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
58db170b-562e-4cc6-9f29-2c499aac57b1,FTT,Comparative Literature,10500,22.30276453,29.88355804,68.99433334,,,,,0.2230276453,0.2988355804,0.6899433334
60f7b565-e115-4801-b998-bd4b5617459d,FTT,Computer Engineering,0,14.00991705,17.07959561,26.69832023,,,,,0.1400991705,0.1707959561,0.2669832023
09eb9b01-0232-4e0e-9f13-ca50a725baac,FTT,Computer Engineering,4500,18.80798946,22.75968096,36.00183989,,,,,0.1880798946,0.2275968096,0.3600183989
1907c55b-b8c4-487f-93f8-ae1c7fc717fb,FTT,Computer Engineering,10500,27.57381518,33.61700335,57.32227059,,,,,0.2757381518,0.3361700335,0.5732227059
c8f46ce2-ad48-4025-ad21-d22a66eb9a6c,FTT,Computer Engineering Technology,0,8.486250561,10.89537879,19.09985051,,,,,0.08486250561,0.1089537879,0.1909985051
157499ce-6e61-4230-9bfe-56d6aafa2047,FTT,Computer Engineering Technology,4500,12.29010616,15.60784242,27.9094677,,,,,0.1229010616,0.1560784242,0.279094677
5ccc4f74-8bf1-4d5a-8534-8d4bbac490c7,FTT,Computer Engineering Technology,10500,19.89929826,25.59756545,48.8465332,,,,,0.1989929826,0.2559756545,0.488465332
0c8e4af6-2155-4872-b574-79c197395e3b,FTT,Computer Science and Information Technology,0,12.95851149,15.37706844,22.35723258,,,,,0.1295851149,0.1537706844,0.2235723258
09419bbb-57a1-42e8-8616-f6525348c646,FTT,Computer Science and Information Technology,4500,16.69501707,19.59992617,28.37872,,,,,0.1669501707,0.1959992617,0.2837872
3d5a4902-e2a8-41e0-a5b6-e616625ea1b4,FTT,Computer Science and Information Technology,10500,22.95257307,26.89771718,39.86345845,,,,,0.2295257307,0.2689771718,0.3986345845
d1299ca2-d9c1-4b5b-83d5-abed3fe30599,FTT,Construction Engineering Technology,0,9.695756279,11.63686784,17.26294173,,,,,0.09695756279,0.1163686784,0.1726294173
53bb3c11-1d33-4d5c-9c82-6b1ce35c7c82,FTT,Construction Engineering Technology,4500,12.6947911,15.03267267,22.16441985,,,,,0.126947911,0.1503267267,0.2216441985
