Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,1,FTF + FTT,05061,05061,Management,Wages - No NAICS Code,64,10090,22634,32,16403,36926
70,1,FTF + FTT,05064,05064,Production and Operations Management,Manufacturing,,,,,,
70,1,FTF + FTT,05064,05064,Production and Operations Management,Wholesale Trade,,,,,,
70,1,FTF + FTT,05064,05064,Production and Operations Management,Information,,,,,,
70,1,FTF + FTT,05064,05064,Production and Operations Management,Finance & Insurance,,,,,,
70,1,FTF + FTT,05064,05064,Production and Operations Management,"Professional, Scientific, & Technical Skills",,,,,,
70,1,FTF + FTT,05064,05064,Production and Operations Management,Admin & Support & Waste Mgmt & Remediation,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Mining,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Utilities,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Construction,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Manufacturing,21,64530,68527,8,89776,89599
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Wholesale Trade,9,61977,64215,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Retail Trade,19,51835,52277,8,75644,94676
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Transportation & Warehousing,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Information,6,65599,62692,5,69304,74647
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Finance & Insurance,14,50832,60079,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Real Estate & Rental & Leasing,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,"Professional, Scientific, & Technical Skills",10,52632,53818,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Admin & Support & Waste Mgmt & Remediation,9,62371,62436,5,71158,61334
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Educational Services,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Health Care & Social Assistance,5,49835,47033,5,67628,59295
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Accommodation & Food Services,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Government,,,,,,
70,1,FTF + FTT,05072,05072,Management Systems Analysis / Operations Research,Wages - No NAICS Code,5,20214,17485,,,
70,1,FTF + FTT,05091,05091,Marketing,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
70,1,FTF + FTT,05091,05091,Marketing,Mining,,,,,,
70,1,FTF + FTT,05091,05091,Marketing,Utilities,,,,,,
70,1,FTF + FTT,05091,05091,Marketing,Construction,29,42947,52866,19,50004,64026
70,1,FTF + FTT,05091,05091,Marketing,Manufacturing,103,62604,61993,43,81350,85745
70,1,FTF + FTT,05091,05091,Marketing,Wholesale Trade,155,56057,65247,56,79192,86827
70,1,FTF + FTT,05091,05091,Marketing,Retail Trade,165,53936,53648,69,57864,65368
70,1,FTF + FTT,05091,05091,Marketing,Transportation & Warehousing,21,50966,57292,10,69324,67362
70,1,FTF + FTT,05091,05091,Marketing,Information,177,57724,63771,72,80417,87039
70,1,FTF + FTT,05091,05091,Marketing,Finance & Insurance,253,56388,59373,108,77109,81958
70,1,FTF + FTT,05091,05091,Marketing,Real Estate & Rental & Leasing,85,53046,53760,39,60819,72585
70,1,FTF + FTT,05091,05091,Marketing,"Professional, Scientific, & Technical Skills",265,55712,58716,94,76431,81782
70,1,FTF + FTT,05091,05091,Marketing,Management of Companies & Enterprises,,,,,,
70,1,FTF + FTT,05091,05091,Marketing,Admin & Support & Waste Mgmt & Remediation,112,46714,48310,36,50204,66283
