Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
55,1,FTF + FTT,10021 + 10022,10022,Art,Real Estate & Rental & Leasing,5,42615,50541,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,"Professional, Scientific, & Technical Skills",12,43131,36828,7,39625,61707
55,1,FTF + FTT,10021 + 10022,10022,Art,Admin & Support & Waste Mgmt & Remediation,7,29440,25774,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Educational Services,23,35825,37931,14,40009,43449
55,1,FTF + FTT,10021 + 10022,10022,Art,Health Care & Social Assistance,,,,5,25146,27191
55,1,FTF + FTT,10021 + 10022,10022,Art,"Arts, Entertainment, & Recreation",5,32476,34764,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Other Services,,,,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Government,7,40184,46611,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Wages - No NAICS Code,5,8023,14814,,,
55,1,FTF + FTT,10051,10051,Music,Manufacturing,,,,,,
55,1,FTF + FTT,10051,10051,Music,Wholesale Trade,6,62007,59985,,,
55,1,FTF + FTT,10051,10051,Music,Retail Trade,,,,,,
55,1,FTF + FTT,10051,10051,Music,Information,8,63395,57952,6,59133,79015
55,1,FTF + FTT,10051,10051,Music,Finance & Insurance,,,,,,
55,1,FTF + FTT,10051,10051,Music,"Professional, Scientific, & Technical Skills",5,65607,61672,,,
55,1,FTF + FTT,10051,10051,Music,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,1,FTF + FTT,10051,10051,Music,Educational Services,6,44308,46148,5,41823,43868
55,1,FTF + FTT,10051,10051,Music,Health Care & Social Assistance,,,,,,
55,1,FTF + FTT,10051,10051,Music,"Arts, Entertainment, & Recreation",,,,,,
55,1,FTF + FTT,10051,10051,Music,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,10051,10051,Music,Other Services,,,,,,
55,1,FTF + FTT,10051,10051,Music,Government,,,,,,
55,1,FTF + FTT,10051,10051,Music,Wages - No NAICS Code,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Manufacturing,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Wholesale Trade,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Retail Trade,5,24752,35062,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Information,7,16092,22488,5,5993,14818
55,1,FTF + FTT,10071,10071,Theatre Arts,Finance & Insurance,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Real Estate & Rental & Leasing,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,"Professional, Scientific, & Technical Skills",,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Admin & Support & Waste Mgmt & Remediation,6,19230,20451,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Educational Services,9,45222,39626,7,66716,58214
55,1,FTF + FTT,10071,10071,Theatre Arts,Health Care & Social Assistance,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,"Arts, Entertainment, & Recreation",6,17775,21260,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Accommodation & Food Services,5,16320,20000,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Other Services,,,,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Government,5,7720,16304,,,
55,1,FTF + FTT,10071,10071,Theatre Arts,Wages - No NAICS Code,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Manufacturing,5,46064,60738,,,
55,1,FTF + FTT,11051,11051,Spanish,Wholesale Trade,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Retail Trade,6,28566,28188,,,
55,1,FTF + FTT,11051,11051,Spanish,Transportation & Warehousing,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Information,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Finance & Insurance,6,36631,39107,6,43653,42694
55,1,FTF + FTT,11051,11051,Spanish,Real Estate & Rental & Leasing,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,"Professional, Scientific, & Technical Skills",6,34694,36786,,,
55,1,FTF + FTT,11051,11051,Spanish,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Educational Services,109,37592,39781,67,45179,46267
55,1,FTF + FTT,11051,11051,Spanish,Health Care & Social Assistance,10,35030,40699,7,34217,42993
55,1,FTF + FTT,11051,11051,Spanish,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Other Services,,,,,,
55,1,FTF + FTT,11051,11051,Spanish,Government,14,50676,55205,13,59992,62768
55,1,FTF + FTT,11051,11051,Spanish,Wages - No NAICS Code,12,4476,7623,,,
55,1,FTF + FTT,12011,12011,Health Science,Utilities,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Construction,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Manufacturing,17,58849,58270,7,88736,83770
55,1,FTF + FTT,12011,12011,Health Science,Wholesale Trade,7,60292,63606,,,
55,1,FTF + FTT,12011,12011,Health Science,Retail Trade,19,40168,42633,5,40213,48191
55,1,FTF + FTT,12011,12011,Health Science,Transportation & Warehousing,7,40038,48909,,,
55,1,FTF + FTT,12011,12011,Health Science,Information,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Finance & Insurance,11,45386,51129,6,85205,80748
55,1,FTF + FTT,12011,12011,Health Science,Real Estate & Rental & Leasing,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,"Professional, Scientific, & Technical Skills",11,53980,55787,5,67283,59942
55,1,FTF + FTT,12011,12011,Health Science,Management of Companies & Enterprises,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Admin & Support & Waste Mgmt & Remediation,19,43155,46562,6,123721,103898
55,1,FTF + FTT,12011,12011,Health Science,Educational Services,37,55086,56245,15,61950,66626
55,1,FTF + FTT,12011,12011,Health Science,Health Care & Social Assistance,150,72661,77229,81,100570,93115
55,1,FTF + FTT,12011,12011,Health Science,"Arts, Entertainment, & Recreation",,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Accommodation & Food Services,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Other Services,,,,,,
55,1,FTF + FTT,12011,12011,Health Science,Government,18,69422,72189,9,70145,79048
55,1,FTF + FTT,12011,12011,Health Science,Wages - No NAICS Code,20,3076,15904,8,5843,13121
55,1,FTF + FTT,12081,12081,Occupational Therapy,Construction,,,,,,
55,1,FTF + FTT,12081,12081,Occupational Therapy,Transportation & Warehousing,,,,,,
