Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,22081,22081,Sociology,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,22081,22081,Sociology,Finance & Insurance,12,49269,50985,,,
73,1,FTF + FTT,22081,22081,Sociology,Real Estate & Rental & Leasing,5,43918,45368,,,
73,1,FTF + FTT,22081,22081,Sociology,"Professional, Scientific, & Technical Skills",11,32275,31812,,,
73,1,FTF + FTT,22081,22081,Sociology,Admin & Support & Waste Mgmt & Remediation,8,16976,25131,,,
73,1,FTF + FTT,22081,22081,Sociology,Educational Services,17,41256,38588,,,
73,1,FTF + FTT,22081,22081,Sociology,Health Care & Social Assistance,28,33274,32088,,,
73,1,FTF + FTT,22081,22081,Sociology,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,22081,22081,Sociology,Accommodation & Food Services,14,28822,30114,,,
73,1,FTF + FTT,22081,22081,Sociology,Other Services,7,31530,31252,,,
73,1,FTF + FTT,22081,22081,Sociology,Government,13,53539,54980,,,
73,1,FTF + FTT,22081,22081,Sociology,Wages - No NAICS Code,13,8869,23498,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Mining,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Manufacturing,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Information,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Finance & Insurance,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,"Professional, Scientific, & Technical Skills",5,46416,46872,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Educational Services,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Government,,,,,,
73,1,FTF + FTT,49011,49011,Environmental Studies,Wages - No NAICS Code,5,52544,40472,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,"Agriculture, Forestry, Fishing, & Hunting",5,22225,33916,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Utilities,,,,,,
73,1,FTF + FTT,49012 + 49017,49017,Liberal Studies,Construction,8,35087,35529,,,
