Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Government,24,"$53,052 ","$59,301 ",13,"$76,731 ","$67,269 "
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,No Wages,406,,,540,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Wages - No NAICS Code,8,"$9,794 ","$24,472 ",7,"$12,762 ","$12,759 "
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Manufacturing,7,"$49,378 ","$46,905 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Wholesale Trade,9,"$51,343 ","$45,837 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Retail Trade,13,"$37,791 ","$38,921 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Transportation & Warehousing,5,"$36,554 ","$35,830 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Information,5,"$35,316 ","$33,278 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Finance & Insurance,7,"$40,856 ","$43,680 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Real Estate & Rental & Leasing,5,"$42,615 ","$50,541 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,"Professional, Scientific, & Technical Skills",12,"$43,131 ","$36,828 ",7,"$39,625 ","$61,707 "
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Admin & Support & Waste Mgmt & Remediation,7,"$29,440 ","$25,774 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Educational Services,23,"$35,825 ","$37,931 ",14,"$40,009 ","$43,449 "
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Health Care & Social Assistance,,,,5,"$25,146 ","$27,191 "
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,"Arts, Entertainment, & Recreation",5,"$32,476 ","$34,764 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Government,7,"$40,184 ","$46,611 ",,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,No Wages,198,,,267,,
55,Dominguez Hills,1,FTF + FTT,10021 + 10022,10022,Art,Wages - No NAICS Code,5,"$8,023 ","$14,814 ",,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Wholesale Trade,6,"$62,007 ","$59,985 ",,,
55,Dominguez Hills,1,FTF + FTT,10051,10051,Music,Retail Trade,,,,,,
