Campus,Location,Student Path,Entry Stat,HEGIS at Exit,Industry,# of Students Found 5 years after exit,Median Annual Earnings 5 years after exit,Average Annual Earnings 5 years after exit,# of Students Found 10 years after exit,Median Annual Earnings 10 years after exit,Average Annual Earnings 10 years after exit
55,Dominguez Hills,1,FTF + FTT,10071,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,"Arts, Entertainment, & Recreation",6,"$17,775","$21,260",,,
55,Dominguez Hills,1,FTF + FTT,10071,Accommodation & Food Services,5,"$16,320","$20,000",,,
55,Dominguez Hills,1,FTF + FTT,10071,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,10071,Government,5,"$7,720","$16,304",,,
55,Dominguez Hills,1,FTF + FTT,10071,No Wages,66,,,108,,
55,Dominguez Hills,1,FTF + FTT,10071,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Manufacturing,5,"$46,064","$60,738",,,
55,Dominguez Hills,1,FTF + FTT,11051,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Retail Trade,6,"$28,566","$28,188",,,
55,Dominguez Hills,1,FTF + FTT,11051,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Finance & Insurance,6,"$36,631","$39,107",6,"$43,653","$42,694"
55,Dominguez Hills,1,FTF + FTT,11051,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,"Professional, Scientific, & Technical Skills",6,"$34,694","$36,786",,,
55,Dominguez Hills,1,FTF + FTT,11051,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Educational Services,109,"$37,592","$39,781",67,"$45,179","$46,267"
55,Dominguez Hills,1,FTF + FTT,11051,Health Care & Social Assistance,10,"$35,030","$40,699",7,"$34,217","$42,993"
55,Dominguez Hills,1,FTF + FTT,11051,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,11051,Government,14,"$50,676","$55,205",13,"$59,992","$62,768"
55,Dominguez Hills,1,FTF + FTT,11051,No Wages,106,,,178,,
