	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
207			0	FTF + FTT	3085	Wholesale Trade		Latin/Central American Studies			5			1
208		35669.0	0	FTF + FTT	3085	Retail Trade		Latin/Central American Studies		33180.0	6		6	1
209			0	FTF + FTT	3085	Transportation & Warehousing		Latin/Central American Studies			7			1
210			0	FTF + FTT	3085	Information		Latin/Central American Studies			8			1
211			0	FTF + FTT	3085	Finance & Insurance		Latin/Central American Studies			9			1
212			0	FTF + FTT	3085	Real Estate & Rental & Leasing		Latin/Central American Studies			10			1
213			0	FTF + FTT	3085	Professional, Scientific, & Technical Skills		Latin/Central American Studies			11			1
214			0	FTF + FTT	3085	Admin & Support & Waste Mgmt & Remediation		Latin/Central American Studies			13			1
215	45856.0	37366.0	0	FTF + FTT	3085	Educational Services		Latin/Central American Studies	49311.0	31806.0	14	21	29	1
216		45069.0	0	FTF + FTT	3085	Health Care & Social Assistance		Latin/Central American Studies		41302.0	15		5	1
217			0	FTF + FTT	3085	Accommodation & Food Services		Latin/Central American Studies			17			1
218			0	FTF + FTT	3085	Other Services		Latin/Central American Studies			18			1
219			0	FTF + FTT	3085	Non-Classified		Latin/Central American Studies			22			1
220			0	FTF + FTT	3085	Government		Latin/Central American Studies			19			1
221			0	FTF + FTT	3085	No Wages		Latin/Central American Studies			20	93	61	1
222		34962.0	0	FTF + FTT	3085	Wages - No NAICS Code		Latin/Central American Studies		43129.0	21		5	1
223			0	FTF + FTT	3122	Information		European Studies			8			1
224			0	FTF + FTT	3122	Admin & Support & Waste Mgmt & Remediation		European Studies			13			1
225			0	FTF + FTT	3122	Educational Services		European Studies			14			1
226			0	FTF + FTT	3122	Accommodation & Food Services		European Studies			17			1
227			0	FTF + FTT	3122	No Wages		European Studies			20	34	27	1
228			0	FTF + FTT	3122	Wages - No NAICS Code		European Studies			21			1
229		47662.0	0	FTF + FTT	3131	Construction		American Studies		35347.0	3		9	1
230		44731.0	0	FTF + FTT	3131	Manufacturing		American Studies		40604.0	4		5	1
231	69669.0	42498.0	0	FTF + FTT	3131	Wholesale Trade		American Studies	68475.0	40502.0	5	7	12	1
232	39466.0	37674.0	0	FTF + FTT	3131	Retail Trade		American Studies	42124.0	38758.0	6	10	29	1
233			0	FTF + FTT	3131	Transportation & Warehousing		American Studies			7			1
234		44806.0	0	FTF + FTT	3131	Information		American Studies		47129.0	8		8	1
235	53898.0	64454.0	0	FTF + FTT	3131	Finance & Insurance		American Studies	47922.0	50640.0	9	12	17	1
236	62738.0	40992.0	0	FTF + FTT	3131	Real Estate & Rental & Leasing		American Studies	55999.0	46621.0	10	5	7	1
237	77019.0	46192.0	0	FTF + FTT	3131	Professional, Scientific, & Technical Skills		American Studies	77277.0	47944.0	11	9	24	1
238			0	FTF + FTT	3131	Management of Companies & Enterprises		American Studies			12			1
239	58891.0	49688.0	0	FTF + FTT	3131	Admin & Support & Waste Mgmt & Remediation		American Studies	71904.0	45769.0	13	8	19	1
240	59073.0	47416.0	0	FTF + FTT	3131	Educational Services		American Studies	69341.0	54391.0	14	45	66	1
241		36712.0	0	FTF + FTT	3131	Health Care & Social Assistance		American Studies		32867.0	15		11	1
242	39328.0	30613.0	0	FTF + FTT	3131	Arts, Entertainment, & Recreation		American Studies	47623.0	32318.0	16	7	7	1
243		34970.0	0	FTF + FTT	3131	Accommodation & Food Services		American Studies		38790.0	17		11	1
244		36870.0	0	FTF + FTT	3131	Other Services		American Studies		37983.0	18		9	1
245			0	FTF + FTT	3131	Non-Classified		American Studies			22			1
246	81268.0	63342.0	0	FTF + FTT	3131	Government		American Studies	93434.0	60462.0	19	10	17	1
247			0	FTF + FTT	3131	No Wages		American Studies			20	449	323	1
248	21117.0	36521.0	0	FTF + FTT	3131	Wages - No NAICS Code		American Studies	2642.0	36611.0	21	7	14	1
249			0	FTF + FTT	4011	Agriculture, Forestry, Fishing, & Hunting		Biology			1			1
250			0	FTF + FTT	4011	Mining		Biology			23			1
251	80685.0	72939.0	0	FTF + FTT	4011	Utilities		Biology	78752.0	70166.0	2	12	14	1
252	50449.0	50943.0	0	FTF + FTT	4011	Construction		Biology	37095.0	42178.0	3	9	15	1
253	81961.0	59293.0	0	FTF + FTT	4011	Manufacturing		Biology	80055.0	56702.0	4	109	259	1
254	89118.0	65092.0	0	FTF + FTT	4011	Wholesale Trade		Biology	79398.0	61011.0	5	36	89	1
255	79748.0	38980.0	0	FTF + FTT	4011	Retail Trade		Biology	59903.0	29857.0	6	68	190	1
256	56801.0	42536.0	0	FTF + FTT	4011	Transportation & Warehousing		Biology	39596.0	42171.0	7	5	18	1
257	29610.0	58765.0	0	FTF + FTT	4011	Information		Biology	2951.0	45152.0	8	5	18	1
258	66833.0	50756.0	0	FTF + FTT	4011	Finance & Insurance		Biology	67399.0	52907.0	9	27	66	1
259	44411.0	39911.0	0	FTF + FTT	4011	Real Estate & Rental & Leasing		Biology	39208.0	38945.0	10	6	14	1
260	65191.0	47302.0	0	FTF + FTT	4011	Professional, Scientific, & Technical Skills		Biology	64646.0	46600.0	11	83	202	1
261			0	FTF + FTT	4011	Management of Companies & Enterprises		Biology			12			1
262	69570.0	44545.0	0	FTF + FTT	4011	Admin & Support & Waste Mgmt & Remediation		Biology	52659.0	39319.0	13	33	118	1
263	61486.0	46873.0	0	FTF + FTT	4011	Educational Services		Biology	65065.0	50773.0	14	146	284	1
264	80718.0	50066.0	0	FTF + FTT	4011	Health Care & Social Assistance		Biology	68218.0	45850.0	15	213	445	1
265	40444.0	28654.0	0	FTF + FTT	4011	Arts, Entertainment, & Recreation		Biology	33028.0	30009.0	16	10	22	1
266	47856.0	27673.0	0	FTF + FTT	4011	Accommodation & Food Services		Biology	39812.0	24496.0	17	14	45	1
267	46936.0	35525.0	0	FTF + FTT	4011	Other Services		Biology	54260.0	36473.0	18	11	34	1
268		39723.0	0	FTF + FTT	4011	Non-Classified		Biology		27728.0	22		6	1
269	83356.0	55964.0	0	FTF + FTT	4011	Government		Biology	81077.0	55649.0	19	80	115	1
270			0	FTF + FTT	4011	No Wages		Biology			20	5,686	4,511	1
