	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
6785	96494.0	53543.0	70	FTF + FTT	5061	Transportation & Warehousing	Northridge	Management-5061	77712.0	47868.0	7	8	23	1
6786	80213.0	60983.0	70	FTF + FTT	5061	Information	Northridge	Management-5061	75943.0	56928.0	8	30	106	1
6787	84806.0	64728.0	70	FTF + FTT	5061	Finance & Insurance	Northridge	Management-5061	74826.0	58011.0	9	128	337	1
6788	77786.0	55464.0	70	FTF + FTT	5061	Real Estate & Rental & Leasing	Northridge	Management-5061	84534.0	53345.0	10	30	95	1
6789	85475.0	64097.0	70	FTF + FTT	5061	Professional, Scientific, & Technical Skills	Northridge	Management-5061	69158.0	54171.0	11	43	145	1
6790		50094.0	70	FTF + FTT	5061	Management of Companies & Enterprises	Northridge	Management-5061		52541.0	12		10	1
6791	72895.0	54859.0	70	FTF + FTT	5061	Admin & Support & Waste Mgmt & Remediation	Northridge	Management-5061	80076.0	50794.0	13	35	102	1
6792	58429.0	40954.0	70	FTF + FTT	5061	Educational Services	Northridge	Management-5061	45932.0	43301.0	14	19	54	1
6793	66683.0	45770.0	70	FTF + FTT	5061	Health Care & Social Assistance	Northridge	Management-5061	60883.0	40678.0	15	40	104	1
6794	50847.0	35550.0	70	FTF + FTT	5061	Arts, Entertainment, & Recreation	Northridge	Management-5061	48751.0	35750.0	16	7	31	1
6795	54338.0	50276.0	70	FTF + FTT	5061	Accommodation & Food Services	Northridge	Management-5061	50848.0	50107.0	17	19	76	1
6796	102656.0	47110.0	70	FTF + FTT	5061	Other Services	Northridge	Management-5061	57089.0	49136.0	18	16	34	1
6797		30926.0	70	FTF + FTT	5061	Non-Classified	Northridge	Management-5061		12707.0	22		7	1
6798	84096.0	63778.0	70	FTF + FTT	5061	Government	Northridge	Management-5061	77414.0	62186.0	19	39	67	1
6799			70	FTF + FTT	5061	No Wages	Northridge	Management-5061			20	2,847	1,797	1
6800	36926.0	22634.0	70	FTF + FTT	5061	Wages - No NAICS Code	Northridge	Management-5061	16403.0	10090.0	21	32	64	1
6801			70	FTF + FTT	5062	Wholesale Trade	Northridge	Management-5062			5			1
6802			70	FTF + FTT	5062	Information	Northridge	Management-5062			8			1
6803			70	FTF + FTT	5062	Finance & Insurance	Northridge	Management-5062			9			1
6804			70	FTF + FTT	5062	Professional, Scientific, & Technical Skills	Northridge	Management-5062			11			1
6805			70	FTF + FTT	5062	Health Care & Social Assistance	Northridge	Management-5062			15			1
6806			70	FTF + FTT	5064	Manufacturing	Northridge	Production and Operations Management			4			1
6807			70	FTF + FTT	5064	Wholesale Trade	Northridge	Production and Operations Management			5			1
6808			70	FTF + FTT	5064	Information	Northridge	Production and Operations Management			8			1
6809			70	FTF + FTT	5064	Finance & Insurance	Northridge	Production and Operations Management			9			1
6810			70	FTF + FTT	5064	Professional, Scientific, & Technical Skills	Northridge	Production and Operations Management			11			1
6811			70	FTF + FTT	5064	Admin & Support & Waste Mgmt & Remediation	Northridge	Production and Operations Management			13			1
6812			70	FTF + FTT	5064	No Wages	Northridge	Production and Operations Management			20			1
6813			70	FTF + FTT	5072	Agriculture, Forestry, Fishing, & Hunting	Northridge	Management Systems Analysis / Operations Research			1			1
6814			70	FTF + FTT	5072	Mining	Northridge	Management Systems Analysis / Operations Research			23			1
6815			70	FTF + FTT	5072	Utilities	Northridge	Management Systems Analysis / Operations Research			2			1
6816			70	FTF + FTT	5072	Construction	Northridge	Management Systems Analysis / Operations Research			3			1
6817	89599.0	68527.0	70	FTF + FTT	5072	Manufacturing	Northridge	Management Systems Analysis / Operations Research	89776.0	64530.0	4	8	21	1
6818		64215.0	70	FTF + FTT	5072	Wholesale Trade	Northridge	Management Systems Analysis / Operations Research		61977.0	5		9	1
6819	94676.0	52277.0	70	FTF + FTT	5072	Retail Trade	Northridge	Management Systems Analysis / Operations Research	75644.0	51835.0	6	8	19	1
6820			70	FTF + FTT	5072	Transportation & Warehousing	Northridge	Management Systems Analysis / Operations Research			7			1
6821	74647.0	62692.0	70	FTF + FTT	5072	Information	Northridge	Management Systems Analysis / Operations Research	69304.0	65599.0	8	5	6	1
6822		60079.0	70	FTF + FTT	5072	Finance & Insurance	Northridge	Management Systems Analysis / Operations Research		50832.0	9		14	1
6823			70	FTF + FTT	5072	Real Estate & Rental & Leasing	Northridge	Management Systems Analysis / Operations Research			10			1
6824		53818.0	70	FTF + FTT	5072	Professional, Scientific, & Technical Skills	Northridge	Management Systems Analysis / Operations Research		52632.0	11		10	1
6825	61334.0	62436.0	70	FTF + FTT	5072	Admin & Support & Waste Mgmt & Remediation	Northridge	Management Systems Analysis / Operations Research	71158.0	62371.0	13	5	9	1
6826			70	FTF + FTT	5072	Educational Services	Northridge	Management Systems Analysis / Operations Research			14			1
6827	59295.0	47033.0	70	FTF + FTT	5072	Health Care & Social Assistance	Northridge	Management Systems Analysis / Operations Research	67628.0	49835.0	15	5	5	1
6828			70	FTF + FTT	5072	Accommodation & Food Services	Northridge	Management Systems Analysis / Operations Research			17			1
6829			70	FTF + FTT	5072	Government	Northridge	Management Systems Analysis / Operations Research			19			1
6830			70	FTF + FTT	5072	No Wages	Northridge	Management Systems Analysis / Operations Research			20	198	125	1
6831		17485.0	70	FTF + FTT	5072	Wages - No NAICS Code	Northridge	Management Systems Analysis / Operations Research		20214.0	21		5	1
6832			70	FTF + FTT	5091	Agriculture, Forestry, Fishing, & Hunting	Northridge	Marketing			1			1
6833			70	FTF + FTT	5091	Mining	Northridge	Marketing			23			1
6834			70	FTF + FTT	5091	Utilities	Northridge	Marketing			2			1
6835	64026.0	52866.0	70	FTF + FTT	5091	Construction	Northridge	Marketing	50004.0	42947.0	3	19	29	1
6836	85745.0	61993.0	70	FTF + FTT	5091	Manufacturing	Northridge	Marketing	81350.0	62604.0	4	43	103	1
